,post_date,job_family,count_id_indexed
0,2020-03-01,Security,1.0
1,2020-03-01,Customer Service,1.0
2,2020-03-01,Entertainment and Recreation,1.0
3,2020-03-01,Facilities/Constr,1.0
4,2020-03-01,Finance/Insurance,1.0
5,2020-03-01,Food & Beverage,1.0
6,2020-03-01,Healthcare,1.0
7,2020-03-01,Hospitality Staff,1.0
8,2020-03-01,Human Resources,1.0
9,2020-03-01,IT,1.0
10,2020-03-01,Manufacturing/Operations Staff,1.0
11,2020-03-01,Marketing/Advertising,1.0
12,2020-03-01,Product Management,1.0
13,2020-03-01,Retail Staff,1.0
14,2020-03-01,Sales,1.0
15,2020-03-01,Security,1.0
16,2020-03-01,Skilled Trades,1.0
17,2020-03-01,Supply Chain Staff,1.0
18,2020-03-01,Unassigned,1.0
19,2020-03-02,Unassigned,0.9994
20,2020-03-02,Customer Service,1.0181
21,2020-03-02,Entertainment and Recreation,1.0209
22,2020-03-02,Facilities/Constr,1.0012
23,2020-03-02,Finance/Insurance,0.9984
24,2020-03-02,Food & Beverage,1.0266
25,2020-03-02,Healthcare,0.9955
26,2020-03-02,Hospitality Staff,1.0144
27,2020-03-02,Human Resources,0.9949
28,2020-03-02,IT,1.0054
29,2020-03-02,Manufacturing/Operations Staff,0.9985
30,2020-03-02,Marketing/Advertising,1.0021
31,2020-03-02,Product Management,1.005
32,2020-03-02,Retail Staff,1.0162
33,2020-03-02,Sales,1.0073
34,2020-03-02,Security,1.0111
35,2020-03-02,Skilled Trades,0.9951
36,2020-03-02,Supply Chain Staff,1.0327
37,2020-03-02,Unassigned,1.01
38,2020-03-03,Hospitality Staff,1.0028
39,2020-03-03,Customer Service,1.0222
40,2020-03-03,Entertainment and Recreation,1.0404
41,2020-03-03,Facilities/Constr,1.0168
42,2020-03-03,Finance/Insurance,1.0
43,2020-03-03,Food & Beverage,1.0313
44,2020-03-03,Healthcare,0.9998
45,2020-03-03,Hospitality Staff,1.0416
46,2020-03-03,Human Resources,0.9869
47,2020-03-03,IT,1.0106
48,2020-03-03,Manufacturing/Operations Staff,1.0158
49,2020-03-03,Marketing/Advertising,1.0042
50,2020-03-03,Product Management,1.022
51,2020-03-03,Retail Staff,1.0191
52,2020-03-03,Sales,0.9986
53,2020-03-03,Security,1.0232
54,2020-03-03,Skilled Trades,1.0127
55,2020-03-03,Supply Chain Staff,1.0748
56,2020-03-03,Unassigned,1.0223
57,2020-03-04,Unassigned,1.0151
58,2020-03-04,Customer Service,1.063
59,2020-03-04,Entertainment and Recreation,1.0504
60,2020-03-04,Facilities/Constr,1.0366
61,2020-03-04,Finance/Insurance,1.0194
62,2020-03-04,Food & Beverage,1.0534
63,2020-03-04,Healthcare,1.0228
64,2020-03-04,Hospitality Staff,1.0698
65,2020-03-04,Human Resources,1.0276
66,2020-03-04,IT,1.0287
67,2020-03-04,Manufacturing/Operations Staff,1.0415
68,2020-03-04,Marketing/Advertising,1.0289
69,2020-03-04,Product Management,1.0526
70,2020-03-04,Retail Staff,1.0477
71,2020-03-04,Sales,1.0188
72,2020-03-04,Security,1.0479
73,2020-03-04,Skilled Trades,1.0383
74,2020-03-04,Supply Chain Staff,1.1127
75,2020-03-04,Unassigned,1.0461
76,2020-03-05,Manufacturing/Operations Staff,1.0208
77,2020-03-05,Customer Service,1.0782
78,2020-03-05,Entertainment and Recreation,1.0522
79,2020-03-05,Facilities/Constr,1.0461
80,2020-03-05,Finance/Insurance,1.0246
81,2020-03-05,Food & Beverage,1.0616
82,2020-03-05,Healthcare,1.0461
83,2020-03-05,Hospitality Staff,1.0716
84,2020-03-05,Human Resources,1.0231
85,2020-03-05,IT,1.0388
86,2020-03-05,Manufacturing/Operations Staff,1.048
87,2020-03-05,Marketing/Advertising,1.0299
88,2020-03-05,Product Management,1.065
89,2020-03-05,Retail Staff,1.0557
90,2020-03-05,Sales,1.0261
91,2020-03-05,Security,1.0728
92,2020-03-05,Skilled Trades,1.0495
93,2020-03-05,Supply Chain Staff,1.1277
94,2020-03-05,Unassigned,1.0582
95,2020-03-06,Human Resources,0.9929
96,2020-03-06,Customer Service,1.0906
97,2020-03-06,Entertainment and Recreation,1.0858
98,2020-03-06,Facilities/Constr,1.0869
99,2020-03-06,Finance/Insurance,1.0385
100,2020-03-06,Food & Beverage,1.0776
101,2020-03-06,Healthcare,1.0764
102,2020-03-06,Hospitality Staff,1.1143
103,2020-03-06,Human Resources,1.0119
104,2020-03-06,IT,1.1009
105,2020-03-06,Manufacturing/Operations Staff,1.0902
106,2020-03-06,Marketing/Advertising,1.0533
107,2020-03-06,Product Management,1.067
108,2020-03-06,Retail Staff,1.0717
109,2020-03-06,Sales,1.0586
110,2020-03-06,Security,1.1041
111,2020-03-06,Skilled Trades,1.0619
112,2020-03-06,Supply Chain Staff,1.1522
113,2020-03-06,Unassigned,1.0716
114,2020-03-07,Unassigned,0.9835
115,2020-03-07,Customer Service,1.1025
116,2020-03-07,Entertainment and Recreation,1.084
117,2020-03-07,Facilities/Constr,1.0995
118,2020-03-07,Finance/Insurance,1.0637
119,2020-03-07,Food & Beverage,1.0852
120,2020-03-07,Healthcare,1.1011
121,2020-03-07,Hospitality Staff,1.1257
122,2020-03-07,Human Resources,1.0114
