,post_date,state,count_id_indexed
0,2020-03-01,AK,1.0
1,2020-03-01,AK,1.0
2,2020-03-01,AL,1.0
3,2020-03-01,AR,1.0
4,2020-03-01,AZ,1.0
5,2020-03-01,CA,1.0
6,2020-03-01,CO,1.0
7,2020-03-01,CT,1.0
8,2020-03-01,AK,1.0
9,2020-03-01,DE,1.0
10,2020-03-01,FL,1.0
11,2020-03-01,GA,1.0
12,2020-03-01,HI,1.0
13,2020-03-01,IA,1.0
14,2020-03-01,ID,1.0
15,2020-03-01,IL,1.0
16,2020-03-01,IN,1.0
17,2020-03-01,KS,1.0
18,2020-03-01,KY,1.0
19,2020-03-01,LA,1.0
20,2020-03-01,MA,1.0
21,2020-03-01,MD,1.0
22,2020-03-01,ME,1.0
23,2020-03-01,MI,1.0
24,2020-03-01,MN,1.0
25,2020-03-01,MO,1.0
26,2020-03-01,MS,1.0
27,2020-03-01,MT,1.0
28,2020-03-01,NC,1.0
29,2020-03-01,ND,1.0
30,2020-03-01,NE,1.0
31,2020-03-01,NH,1.0
32,2020-03-01,NJ,1.0
33,2020-03-01,NM,1.0
34,2020-03-01,NV,1.0
35,2020-03-01,NY,1.0
36,2020-03-01,OH,1.0
37,2020-03-01,OK,1.0
38,2020-03-01,OR,1.0
39,2020-03-01,PA,1.0
40,2020-03-01,AK,1.0
41,2020-03-01,AK,1.0
42,2020-03-01,RI,1.0
43,2020-03-01,SC,1.0
44,2020-03-01,SD,1.0
45,2020-03-01,AK,1.0
46,2020-03-01,AK,1.0
47,2020-03-01,TN,1.0
48,2020-03-01,TX,1.0
49,2020-03-01,AK,1.0
50,2020-03-01,UT,1.0
51,2020-03-01,VA,1.0
52,2020-03-01,AK,1.0
53,2020-03-01,VT,1.0
54,2020-03-01,WA,1.0
55,2020-03-01,WI,1.0
56,2020-03-01,WV,1.0
57,2020-03-01,WY,1.0
58,2020-03-02,AK,0.9716
59,2020-03-02,AK,0.9743
60,2020-03-02,AL,1.0065
61,2020-03-02,AR,1.0237
62,2020-03-02,AK,0.0
63,2020-03-02,AZ,1.012
64,2020-03-02,CA,1.0062
65,2020-03-02,CO,1.0194
66,2020-03-02,CT,1.0284
67,2020-03-02,AK,0.9894
68,2020-03-02,DE,1.0247
69,2020-03-02,FL,1.0068
70,2020-03-02,GA,1.0075
71,2020-03-02,AK,0.0
72,2020-03-02,HI,1.0383
73,2020-03-02,IA,1.0119
74,2020-03-02,ID,1.0326
75,2020-03-02,IL,1.015
76,2020-03-02,IN,1.015
77,2020-03-02,KS,1.0264
78,2020-03-02,KY,1.0351
79,2020-03-02,LA,1.0405
80,2020-03-02,AK,0.0
81,2020-03-02,MA,1.0089
82,2020-03-02,MD,1.0107
83,2020-03-02,ME,1.0118
84,2020-03-02,MI,1.0106
85,2020-03-02,MN,1.0134
86,2020-03-02,MO,1.0008
87,2020-03-02,AK,0.0
88,2020-03-02,MS,1.0388
89,2020-03-02,MT,0.9713
90,2020-03-02,NC,1.0116
91,2020-03-02,ND,0.9838
92,2020-03-02,NE,1.0324
93,2020-03-02,NH,1.0078
94,2020-03-02,NJ,1.0204
95,2020-03-02,NM,1.0294
96,2020-03-02,NV,1.0616
97,2020-03-02,NY,1.0048
98,2020-03-02,OH,1.0109
99,2020-03-02,OK,1.021
100,2020-03-02,OR,0.9854
101,2020-03-02,PA,1.0041
102,2020-03-02,AK,1.0851
103,2020-03-02,AK,1.0028
104,2020-03-02,RI,1.0278
105,2020-03-02,SC,1.0131
106,2020-03-02,SD,1.0421
107,2020-03-02,AK,1.0892
108,2020-03-02,AK,0.0
109,2020-03-02,AK,1.0
110,2020-03-02,TN,1.008
111,2020-03-02,TX,1.0106
112,2020-03-02,AK,1.0338
113,2020-03-02,UT,1.016
114,2020-03-02,VA,1.0104
115,2020-03-02,AK,0.9415
116,2020-03-02,VT,1.0388
117,2020-03-02,WA,0.9622
118,2020-03-02,WI,1.0176
119,2020-03-02,WV,1.0136
120,2020-03-02,WY,1.0317
121,2020-03-03,AK,0.9424
122,2020-03-03,AK,1.0293
123,2020-03-03,AL,1.0451
124,2020-03-03,AR,1.0573
125,2020-03-03,AK,0.0
126,2020-03-03,AZ,1.0146
127,2020-03-03,CA,1.0125
128,2020-03-03,CO,1.0327
129,2020-03-03,CT,1.0419
130,2020-03-03,AK,0.997
131,2020-03-03,DE,1.0569
132,2020-03-03,FL,1.0113
133,2020-03-03,GA,1.0126
134,2020-03-03,AK,0.0
135,2020-03-03,HI,1.1248
136,2020-03-03,IA,1.059
137,2020-03-03,ID,1.0837
138,2020-03-03,IL,1.035
139,2020-03-03,IN,1.0393
140,2020-03-03,KS,1.0628
141,2020-03-03,KY,1.0634
142,2020-03-03,LA,1.1141
143,2020-03-03,AK,0.0
144,2020-03-03,MA,1.0139
145,2020-03-03,MD,1.0252
146,2020-03-03,ME,1.0626
147,2020-03-03,MI,1.0186
148,2020-03-03,MN,1.0418
149,2020-03-03,MO,0.9916
150,2020-03-03,AK,0.0
151,2020-03-03,MS,1.0622
152,2020-03-03,MT,1.0123
153,2020-03-03,NC,1.0176
154,2020-03-03,ND,1.0375
155,2020-03-03,NE,1.0366
156,2020-03-03,NH,1.0639
157,2020-03-03,NJ,1.019
158,2020-03-03,NM,1.0848
159,2020-03-03,NV,1.063
160,2020-03-03,NY,1.0158
161,2020-03-03,OH,1.0237
162,2020-03-03,OK,1.0321
163,2020-03-03,OR,1.0202
164,2020-03-03,PA,1.0129
165,2020-03-03,AK,0.9544
166,2020-03-03,AK,0.9463
167,2020-03-03,RI,1.0724
168,2020-03-03,SC,1.0071
169,2020-03-03,SD,1.0631
170,2020-03-03,AK,0.0
171,2020-03-03,AK,0.9345
172,2020-03-03,TN,1.0007
173,2020-03-03,TX,1.0116
174,2020-03-03,AK,1.0507
175,2020-03-03,UT,1.0352
176,2020-03-03,VA,1.027
177,2020-03-03,AK,0.8122
178,2020-03-03,VT,1.0696
179,2020-03-03,WA,0.9742
180,2020-03-03,WI,1.0268
181,2020-03-03,WV,1.0561
182,2020-03-03,WY,1.1052
183,2020-03-04,AK,0.9304
184,2020-03-04,AK,1.0339
185,2020-03-04,AL,1.0885
186,2020-03-04,AR,1.0988
187,2020-03-04,AZ,1.0228
188,2020-03-04,CA,1.0305
189,2020-03-04,CO,1.0614
190,2020-03-04,CT,1.074
191,2020-03-04,AK,1.0136
192,2020-03-04,DE,1.0893
193,2020-03-04,FL,1.0391
194,2020-03-04,GA,1.0357
195,2020-03-04,AK,0.0
196,2020-03-04,HI,1.1428
197,2020-03-04,IA,1.0963
198,2020-03-04,ID,1.0846
199,2020-03-04,IL,1.0951
200,2020-03-04,IN,1.0527
201,2020-03-04,KS,1.0719
202,2020-03-04,KY,1.0722
203,2020-03-04,LA,1.1935
204,2020-03-04,AK,0.0
205,2020-03-04,MA,1.032
206,2020-03-04,MD,1.0367
207,2020-03-04,ME,1.1045
208,2020-03-04,MI,1.0506
209,2020-03-04,MN,1.0691
210,2020-03-04,MO,1.0063
211,2020-03-04,AK,0.0
212,2020-03-04,MS,1.1259
213,2020-03-04,MT,1.0625
214,2020-03-04,NC,1.039
215,2020-03-04,ND,1.0925
216,2020-03-04,NE,1.0558
217,2020-03-04,NH,1.0976
218,2020-03-04,NJ,1.0377
219,2020-03-04,NM,1.1234
220,2020-03-04,NV,1.0853
221,2020-03-04,NY,1.0334
222,2020-03-04,OH,1.0528
223,2020-03-04,OK,1.0466
224,2020-03-04,OR,1.0378
225,2020-03-04,PA,1.0319
226,2020-03-04,AK,1.0426
227,2020-03-04,AK,0.9518
228,2020-03-04,RI,1.1045
229,2020-03-04,SC,1.0297
230,2020-03-04,SD,1.0921
231,2020-03-04,AK,1.2739
232,2020-03-04,AK,0.0
233,2020-03-04,AK,0.9684
234,2020-03-04,TN,1.0186
235,2020-03-04,TX,1.0356
236,2020-03-04,AK,1.0688
237,2020-03-04,UT,1.0515
238,2020-03-04,VA,1.0441
239,2020-03-04,AK,0.7652
240,2020-03-04,VT,1.1345
241,2020-03-04,WA,0.9899
242,2020-03-04,WI,1.056
243,2020-03-04,WV,1.1442
244,2020-03-04,WY,1.0983
245,2020-03-05,AK,0.8728
246,2020-03-05,AK,1.0358
247,2020-03-05,AL,1.0865
248,2020-03-05,AR,1.1245
249,2020-03-05,AK,0.0
250,2020-03-05,AZ,1.0408
251,2020-03-05,CA,1.0467
252,2020-03-05,CO,1.0656
253,2020-03-05,CT,1.1659
254,2020-03-05,AK,1.0178
255,2020-03-05,DE,1.1288
256,2020-03-05,FL,1.0574
257,2020-03-05,GA,1.043
258,2020-03-05,AK,0.0
259,2020-03-05,HI,1.1977
260,2020-03-05,IA,1.0926
261,2020-03-05,ID,1.0862
262,2020-03-05,IL,1.1048
263,2020-03-05,IN,1.0668
264,2020-03-05,KS,1.0742
265,2020-03-05,KY,1.0875
266,2020-03-05,LA,1.2077
267,2020-03-05,AK,0.0
268,2020-03-05,MA,1.0424
269,2020-03-05,MD,1.0446
270,2020-03-05,ME,1.0949
271,2020-03-05,MI,1.0722
272,2020-03-05,MN,1.0781
273,2020-03-05,MO,1.0235
274,2020-03-05,AK,0.0
275,2020-03-05,MS,1.1302
276,2020-03-05,MT,1.0949
277,2020-03-05,NC,1.0496
278,2020-03-05,ND,1.1104
279,2020-03-05,NE,1.0789
280,2020-03-05,NH,1.1105
281,2020-03-05,NJ,1.0346
282,2020-03-05,NM,1.1499
283,2020-03-05,NV,1.0902
284,2020-03-05,NY,1.0345
285,2020-03-05,OH,1.0693
286,2020-03-05,OK,1.0555
287,2020-03-05,OR,1.0636
288,2020-03-05,PA,1.0485
289,2020-03-05,AK,1.0426
290,2020-03-05,AK,0.9794
291,2020-03-05,RI,1.1181
292,2020-03-05,SC,1.047
293,2020-03-05,SD,1.086
294,2020-03-05,AK,1.3822
295,2020-03-05,AK,0.0
296,2020-03-05,AK,0.9684
297,2020-03-05,TN,1.0203
298,2020-03-05,TX,1.0457
299,2020-03-05,AK,1.0
300,2020-03-05,UT,1.0534
301,2020-03-05,VA,1.0574
302,2020-03-05,AK,0.7414
303,2020-03-05,VT,1.1357
304,2020-03-05,WA,0.997
305,2020-03-05,WI,1.07
306,2020-03-05,WV,1.1756
307,2020-03-05,WY,1.1052
308,2020-03-06,AK,0.8347
309,2020-03-06,AK,1.0463
310,2020-03-06,AL,1.0861
311,2020-03-06,AR,1.142
312,2020-03-06,AK,0.0
313,2020-03-06,AZ,1.0505
314,2020-03-06,CA,1.0623
315,2020-03-06,CO,1.091
316,2020-03-06,CT,1.2026
317,2020-03-06,AK,1.0017
318,2020-03-06,DE,1.1587
319,2020-03-06,FL,1.0645
320,2020-03-06,GA,1.0413
321,2020-03-06,AK,0.0
322,2020-03-06,HI,1.2427
323,2020-03-06,IA,1.1154
324,2020-03-06,ID,1.0995
325,2020-03-06,IL,1.1222
326,2020-03-06,IN,1.0797
327,2020-03-06,KS,1.0873
328,2020-03-06,KY,1.0876
329,2020-03-06,LA,1.2201
330,2020-03-06,AK,0.0
331,2020-03-06,MA,1.065
332,2020-03-06,MD,1.0733
333,2020-03-06,ME,1.1714
334,2020-03-06,MI,1.0851
335,2020-03-06,MN,1.0889
336,2020-03-06,MO,1.0306
337,2020-03-06,AK,0.0
338,2020-03-06,MS,1.1257
339,2020-03-06,MT,1.1131
340,2020-03-06,NC,1.0662
341,2020-03-06,ND,1.1121
342,2020-03-06,NE,1.0955
343,2020-03-06,NH,1.1524
344,2020-03-06,NJ,1.0582
345,2020-03-06,NM,1.0362
346,2020-03-06,NV,1.0607
347,2020-03-06,NY,1.0645
348,2020-03-06,OH,1.0951
349,2020-03-06,OK,1.0627
350,2020-03-06,AK,0.0
351,2020-03-06,OR,1.0855
352,2020-03-06,PA,1.0707
353,2020-03-06,AK,1.1277
354,2020-03-06,AK,1.0249
355,2020-03-06,RI,1.1492
356,2020-03-06,SC,1.0638
357,2020-03-06,SD,1.1267
358,2020-03-06,AK,0.0
359,2020-03-06,AK,0.5169
360,2020-03-06,TN,1.0313
361,2020-03-06,TX,1.048
362,2020-03-06,AK,0.9819
363,2020-03-06,UT,1.0515
364,2020-03-06,VA,1.0719
365,2020-03-06,AK,0.6829
366,2020-03-06,VT,1.2156
367,2020-03-06,WA,0.9946
368,2020-03-06,WI,1.0975
369,2020-03-06,WV,1.2108
370,2020-03-06,WY,1.1534
371,2020-03-07,AK,0.831
372,2020-03-07,AK,1.0638
373,2020-03-07,AL,1.1215
374,2020-03-07,AR,1.182
375,2020-03-07,AZ,1.0592
376,2020-03-07,CA,1.0734
377,2020-03-07,CO,1.0969
378,2020-03-07,CT,1.2307
379,2020-03-07,AK,1.0171
380,2020-03-07,DE,1.2503
381,2020-03-07,FL,1.0836
382,2020-03-07,GA,1.0616
383,2020-03-07,AK,0.0
384,2020-03-07,HI,1.3089
385,2020-03-07,IA,1.1335
386,2020-03-07,ID,1.1398
387,2020-03-07,IL,1.1447
388,2020-03-07,IN,1.097
389,2020-03-07,KS,1.1406
390,2020-03-07,KY,1.1148
391,2020-03-07,LA,1.2483
392,2020-03-07,AK,0.0
393,2020-03-07,MA,1.0782
394,2020-03-07,MD,1.1057
395,2020-03-07,ME,1.193
396,2020-03-07,MI,1.1088
397,2020-03-07,MN,1.1095
398,2020-03-07,MO,1.0531
399,2020-03-07,MS,1.167
400,2020-03-07,MT,1.1518
401,2020-03-07,NC,1.1054
402,2020-03-07,ND,1.1738
403,2020-03-07,NE,1.1387
404,2020-03-07,NH,1.2094
405,2020-03-07,NJ,1.1009
406,2020-03-07,NM,1.0598
407,2020-03-07,NV,1.0885
408,2020-03-07,NY,1.0938
409,2020-03-07,OH,1.1177
410,2020-03-07,OK,1.1264
411,2020-03-07,OR,1.1054
412,2020-03-07,PA,1.0911
413,2020-03-07,AK,1.0
414,2020-03-07,AK,1.0606
415,2020-03-07,RI,1.2205
416,2020-03-07,SC,1.0979
417,2020-03-07,SD,1.2225
418,2020-03-07,AK,1.4013
419,2020-03-07,AK,0.0
420,2020-03-07,TN,1.0671
421,2020-03-07,TX,1.0608
422,2020-03-07,AK,0.965
423,2020-03-07,UT,1.0972
424,2020-03-07,VA,1.092
425,2020-03-07,AK,0.7883
426,2020-03-07,VT,1.3055
427,2020-03-07,WA,1.0139
428,2020-03-07,WI,1.1257
429,2020-03-07,WV,1.2976
430,2020-03-07,WY,1.2175
431,2020-03-08,AK,0.8111
432,2020-03-08,AK,1.0317
433,2020-03-08,AL,1.0938
434,2020-03-08,AR,1.145
435,2020-03-08,AZ,1.0452
436,2020-03-08,CA,1.066
437,2020-03-08,CO,1.0724
438,2020-03-08,CT,1.2238
439,2020-03-08,AK,1.0017
440,2020-03-08,DE,1.2117
441,2020-03-08,FL,1.081
442,2020-03-08,GA,1.0468
443,2020-03-08,HI,1.2969
444,2020-03-08,IA,1.1253
