,post_date,industry,count_id_indexed
0,2020-03-01,Communication,1.0
1,2020-03-01,Communication,1.0
2,2020-03-01,Construction,1.0
3,2020-03-01,Energy,1.0
4,2020-03-01,Entertainment,1.0
5,2020-03-01,Financial Services,1.0
6,2020-03-01,Healthcare,1.0
7,2020-03-01,Hospitality,1.0
8,2020-03-01,Insurance,1.0
9,2020-03-01,Manufacturing,1.0
10,2020-03-01,Mining,1.0
11,2020-03-01,Real Estate,1.0
12,2020-03-01,Retail,1.0
13,2020-03-01,Services,1.0
14,2020-03-01,Transportation,1.0
15,2020-03-01,Wholesale,1.0
16,2020-03-02,Communication,1.0052
17,2020-03-02,Communication,1.0521
18,2020-03-02,Construction,1.0075
19,2020-03-02,Energy,1.0231
20,2020-03-02,Entertainment,0.8964
21,2020-03-02,Financial Services,0.9924
22,2020-03-02,Healthcare,0.9667
23,2020-03-02,Hospitality,1.0851
24,2020-03-02,Insurance,1.0102
25,2020-03-02,Manufacturing,0.9927
26,2020-03-02,Mining,0.9684
27,2020-03-02,Real Estate,1.0086
28,2020-03-02,Retail,1.0306
29,2020-03-02,Services,1.0202
30,2020-03-02,Transportation,1.0617
31,2020-03-02,Wholesale,1.0617
32,2020-03-03,Communication,1.0252
33,2020-03-03,Communication,1.0417
34,2020-03-03,Construction,1.0394
35,2020-03-03,Energy,1.093
36,2020-03-03,Entertainment,0.9726
37,2020-03-03,Financial Services,0.9759
38,2020-03-03,Healthcare,0.9631
39,2020-03-03,Hospitality,1.0707
40,2020-03-03,Insurance,0.9957
41,2020-03-03,Manufacturing,0.9857
42,2020-03-03,Mining,0.9788
43,2020-03-03,Real Estate,0.9875
44,2020-03-03,Retail,1.0545
45,2020-03-03,Services,1.0229
46,2020-03-03,Transportation,1.0946
47,2020-03-03,Wholesale,1.0768
48,2020-03-04,Communication,1.051
49,2020-03-04,Communication,1.0626
50,2020-03-04,Construction,1.0828
51,2020-03-04,Energy,1.1004
52,2020-03-04,Entertainment,1.0192
53,2020-03-04,Financial Services,0.9804
54,2020-03-04,Healthcare,0.9893
55,2020-03-04,Hospitality,1.0705
56,2020-03-04,Insurance,1.0332
57,2020-03-04,Manufacturing,0.9996
58,2020-03-04,Mining,0.9905
59,2020-03-04,Real Estate,1.0038
60,2020-03-04,Retail,1.0748
61,2020-03-04,Services,1.0504
62,2020-03-04,Transportation,1.1038
63,2020-03-04,Wholesale,1.1033
64,2020-03-05,Communication,1.0575
65,2020-03-05,Communication,1.1222
66,2020-03-05,Construction,1.0891
67,2020-03-05,Energy,1.095
68,2020-03-05,Entertainment,1.039
69,2020-03-05,Financial Services,0.9844
70,2020-03-05,Healthcare,1.0138
71,2020-03-05,Hospitality,1.0582
72,2020-03-05,Insurance,1.0619
73,2020-03-05,Manufacturing,1.0093
74,2020-03-05,Mining,0.9692
75,2020-03-05,Real Estate,0.9896
76,2020-03-05,Retail,1.0974
77,2020-03-05,Services,1.0682
78,2020-03-05,Transportation,1.1385
79,2020-03-05,Wholesale,1.1027
80,2020-03-06,Communication,1.0733
81,2020-03-06,Communication,1.1256
82,2020-03-06,Construction,1.1033
83,2020-03-06,Energy,1.0879
84,2020-03-06,Entertainment,1.067
85,2020-03-06,Financial Services,1.0207
86,2020-03-06,Healthcare,0.9916
87,2020-03-06,Hospitality,1.0484
88,2020-03-06,Insurance,1.0827
89,2020-03-06,Manufacturing,1.02
90,2020-03-06,Mining,0.9393
91,2020-03-06,Real Estate,0.991
92,2020-03-06,Retail,1.1119
93,2020-03-06,Services,1.0996
94,2020-03-06,Transportation,1.1433
95,2020-03-06,Wholesale,1.0946
96,2020-03-07,Communication,1.0981
97,2020-03-07,Communication,1.168
98,2020-03-07,Construction,1.1314
99,2020-03-07,Energy,1.0892
100,2020-03-07,Entertainment,1.1394
101,2020-03-07,Financial Services,1.0433
102,2020-03-07,Healthcare,0.9962
103,2020-03-07,Hospitality,1.0161
104,2020-03-07,Insurance,1.0761
105,2020-03-07,Manufacturing,1.0279
106,2020-03-07,Mining,0.9506
107,2020-03-07,Real Estate,0.9995
108,2020-03-07,Retail,1.1779
109,2020-03-07,Services,1.1207
110,2020-03-07,Transportation,1.1577
111,2020-03-07,Wholesale,1.1271
112,2020-03-08,Communication,1.0988
113,2020-03-08,Communication,1.2063
114,2020-03-08,Construction,1.0978
115,2020-03-08,Energy,1.0807
116,2020-03-08,Entertainment,1.1397
117,2020-03-08,Financial Services,1.034
118,2020-03-08,Healthcare,0.9639
119,2020-03-08,Hospitality,0.9597
120,2020-03-08,Insurance,1.0407
121,2020-03-08,Manufacturing,1.0066
122,2020-03-08,Mining,0.9397
123,2020-03-08,Real Estate,0.9903
124,2020-03-08,Retail,1.1605
125,2020-03-08,Services,1.1139
126,2020-03-08,Transportation,1.0451
127,2020-03-08,Wholesale,1.1081
128,2020-03-09,Communication,1.1155
129,2020-03-09,Communication,1.2252
130,2020-03-09,Construction,1.1148
131,2020-03-09,Energy,1.0519
132,2020-03-09,Entertainment,1.1463
133,2020-03-09,Financial Services,1.0681
134,2020-03-09,Healthcare,0.9873
135,2020-03-09,Hospitality,0.8814
136,2020-03-09,Insurance,1.0458
137,2020-03-09,Manufacturing,1.0523
138,2020-03-09,Mining,0.9324
139,2020-03-09,Real Estate,0.9885
140,2020-03-09,Retail,1.1458
141,2020-03-09,Services,1.1289
142,2020-03-09,Transportation,0.9684
143,2020-03-09,Wholesale,1.108
144,2020-03-10,Communication,1.1185
145,2020-03-10,Communication,1.333
146,2020-03-10,Construction,1.1106
147,2020-03-10,Energy,0.9919
148,2020-03-10,Entertainment,1.0464
149,2020-03-10,Financial Services,1.0891
150,2020-03-10,Healthcare,0.9916
151,2020-03-10,Hospitality,0.8785
152,2020-03-10,Insurance,1.0537
153,2020-03-10,Manufacturing,1.0585
154,2020-03-10,Mining,0.915
155,2020-03-10,Real Estate,0.9913
156,2020-03-10,Retail,1.1443
157,2020-03-10,Services,1.1341
158,2020-03-10,Transportation,0.9696
159,2020-03-10,Wholesale,1.0861
160,2020-03-11,Communication,1.1168
161,2020-03-11,Communication,1.3476
162,2020-03-11,Construction,1.1204
163,2020-03-11,Energy,0.9868
164,2020-03-11,Entertainment,1.0227
165,2020-03-11,Financial Services,1.0972
166,2020-03-11,Healthcare,0.9744
167,2020-03-11,Hospitality,0.8545
168,2020-03-11,Insurance,1.0295
169,2020-03-11,Manufacturing,1.0503
170,2020-03-11,Mining,0.9038
171,2020-03-11,Real Estate,0.9991
172,2020-03-11,Retail,1.1343
173,2020-03-11,Services,1.1195
174,2020-03-11,Transportation,0.9634
175,2020-03-11,Wholesale,1.0584
176,2020-03-12,Communication,1.1043
177,2020-03-12,Communication,1.3549
178,2020-03-12,Construction,1.087
179,2020-03-12,Energy,0.943
180,2020-03-12,Entertainment,1.0058
181,2020-03-12,Financial Services,1.0808
182,2020-03-12,Healthcare,0.9536
183,2020-03-12,Hospitality,0.8465
184,2020-03-12,Insurance,0.9893
185,2020-03-12,Manufacturing,1.0234
186,2020-03-12,Mining,0.8808
187,2020-03-12,Real Estate,0.9809
188,2020-03-12,Retail,1.1079
189,2020-03-12,Services,1.1082
190,2020-03-12,Transportation,0.9548
191,2020-03-12,Wholesale,1.0394
192,2020-03-13,Communication,1.0621
193,2020-03-13,Communication,1.3261
194,2020-03-13,Construction,1.0532
195,2020-03-13,Energy,0.9152
196,2020-03-13,Entertainment,0.9953
197,2020-03-13,Financial Services,1.0215
198,2020-03-13,Healthcare,0.952
199,2020-03-13,Hospitality,0.7951
200,2020-03-13,Insurance,0.968
201,2020-03-13,Manufacturing,0.9857
202,2020-03-13,Mining,0.8479
203,2020-03-13,Real Estate,0.9612
204,2020-03-13,Retail,1.078
205,2020-03-13,Services,1.0661
206,2020-03-13,Transportation,0.9233
207,2020-03-13,Wholesale,1.0172
208,2020-03-14,Communication,1.0342
209,2020-03-14,Communication,1.2168
210,2020-03-14,Construction,1.0096
211,2020-03-14,Energy,0.8575
212,2020-03-14,Entertainment,0.9038
213,2020-03-14,Financial Services,0.9666
214,2020-03-14,Healthcare,0.9108
215,2020-03-14,Hospitality,0.7479
216,2020-03-14,Insurance,0.9354
217,2020-03-14,Manufacturing,0.9482
218,2020-03-14,Mining,0.8206
219,2020-03-14,Real Estate,0.9358
220,2020-03-14,Retail,0.9721
221,2020-03-14,Services,1.0144
222,2020-03-14,Transportation,0.8957
223,2020-03-14,Wholesale,0.9503
224,2020-03-15,Communication,1.0486
225,2020-03-15,Communication,1.145
226,2020-03-15,Construction,1.0238
227,2020-03-15,Energy,0.8555
228,2020-03-15,Entertainment,0.8961
229,2020-03-15,Financial Services,0.9571
230,2020-03-15,Healthcare,0.9024
231,2020-03-15,Hospitality,0.7256
232,2020-03-15,Insurance,0.9499
233,2020-03-15,Manufacturing,0.9507
234,2020-03-15,Mining,0.8266
235,2020-03-15,Real Estate,0.9306
236,2020-03-15,Retail,0.9399
237,2020-03-15,Services,0.989
238,2020-03-15,Transportation,0.8657
239,2020-03-15,Wholesale,0.9382
240,2020-03-16,Communication,0.9992
241,2020-03-16,Communication,1.1347
242,2020-03-16,Construction,1.001
243,2020-03-16,Energy,0.8341
244,2020-03-16,Entertainment,0.8653
245,2020-03-16,Financial Services,0.9197
246,2020-03-16,Healthcare,0.8824
247,2020-03-16,Hospitality,0.6625
248,2020-03-16,Insurance,0.9123
249,2020-03-16,Manufacturing,0.8897
250,2020-03-16,Mining,0.8318
251,2020-03-16,Real Estate,0.9146
252,2020-03-16,Retail,0.8904
253,2020-03-16,Services,0.9532
254,2020-03-16,Transportation,0.8302
255,2020-03-16,Wholesale,0.9289
256,2020-03-17,Communication,0.9176
257,2020-03-17,Communication,0.9998
258,2020-03-17,Construction,0.9779
259,2020-03-17,Energy,0.8104
260,2020-03-17,Entertainment,0.8087
261,2020-03-17,Financial Services,0.8562
262,2020-03-17,Healthcare,0.832
263,2020-03-17,Hospitality,0.5419
264,2020-03-17,Insurance,0.8654
265,2020-03-17,Manufacturing,0.8256
266,2020-03-17,Mining,0.7885
267,2020-03-17,Real Estate,0.8829
268,2020-03-17,Retail,0.8109
269,2020-03-17,Services,0.8985
270,2020-03-17,Transportation,0.7719
271,2020-03-17,Wholesale,0.8667
272,2020-03-18,Communication,0.8579
273,2020-03-18,Communication,0.9265
274,2020-03-18,Construction,0.9709
275,2020-03-18,Energy,0.7625
276,2020-03-18,Entertainment,0.7978
277,2020-03-18,Financial Services,0.8036
