,post_date,count_id_indexed,State,State Code,Region,Division,Year,Month,standardized_props
0,2020-03-01,1.0,New York,NY,Northeast,Middle Atlantic,2020,3,-0.09308056164275785
1,2020-03-01,1.0,New York,NY,Northeast,Middle Atlantic,2020,3,-0.09308056164275785
2,2020-03-02,0.0,New York,NY,Northeast,Middle Atlantic,2020,3,-0.46016838404683374
3,2020-03-02,1.0048,New York,NY,Northeast,Middle Atlantic,2020,3,-0.09131854009521832
4,2020-03-03,1.0158,New York,NY,Northeast,Middle Atlantic,2020,3,-0.08728057404877344
5,2020-03-04,1.0334,New York,NY,Northeast,Middle Atlantic,2020,3,-0.08081982837446168
6,2020-03-05,1.0345,New York,NY,Northeast,Middle Atlantic,2020,3,-0.08041603176981725
7,2020-03-06,1.0645,New York,NY,Northeast,Middle Atlantic,2020,3,-0.06940339709769495
8,2020-03-06,0.0,New York,NY,Northeast,Middle Atlantic,2020,3,-0.46016838404683374
9,2020-03-06,0.9819,New York,NY,Northeast,Middle Atlantic,2020,3,-0.09972485122827163
10,2020-03-07,1.0938,New York,NY,Northeast,Middle Atlantic,2020,3,-0.0586477239012555
11,2020-03-08,1.0916,New York,NY,Northeast,Middle Atlantic,2020,3,-0.05945531711054454
12,2020-03-09,1.1095,New York,NY,Northeast,Middle Atlantic,2020,3,-0.052884445089511574
13,2020-03-10,1.1151,New York,NY,Northeast,Middle Atlantic,2020,3,-0.05082875328404873
14,2020-03-10,0.0,New York,NY,Northeast,Middle Atlantic,2020,3,-0.46016838404683374
15,2020-03-11,1.1038,New York,NY,Northeast,Middle Atlantic,2020,3,-0.05497684567721482
16,2020-03-12,1.0825,New York,NY,Northeast,Middle Atlantic,2020,3,-0.06279581629442159
17,2020-03-13,1.0287,New York,NY,Northeast,Middle Atlantic,2020,3,-0.0825451411397609
18,2020-03-14,0.967,New York,NY,Northeast,Middle Atlantic,2020,3,-0.10519445978209237
19,2020-03-15,0.9425,New York,NY,Northeast,Middle Atlantic,2020,3,-0.11418811143099221
20,2020-03-16,0.0,New York,NY,Northeast,Middle Atlantic,2020,3,-0.46016838404683374
21,2020-03-16,0.8915,New York,NY,Northeast,Middle Atlantic,2020,3,-0.1329095903736001
22,2020-03-17,0.8183,New York,NY,Northeast,Middle Atlantic,2020,3,-0.15978041897357842
23,2020-03-18,0.7565,New York,NY,Northeast,Middle Atlantic,2020,3,-0.18246644639815035
24,2020-03-19,0.7094,New York,NY,Northeast,Middle Atlantic,2020,3,-0.1997562828333823
25,2020-03-20,0.6611,New York,NY,Northeast,Middle Atlantic,2020,3,-0.21748662465549914
26,2020-03-20,0.0,New York,NY,Northeast,Middle Atlantic,2020,3,-0.46016838404683374
27,2020-03-21,4.0909,New York,NY,Northeast,Middle Atlantic,2020,3,1.0415511886260005
28,2020-03-21,0.6344,New York,NY,Northeast,Middle Atlantic,2020,3,-0.227287869513688
29,2020-03-22,0.6327,New York,NY,Northeast,Middle Atlantic,2020,3,-0.22791191881177492
30,2020-03-23,0.6018,New York,NY,Northeast,Middle Atlantic,2020,3,-0.23925493252406085
31,2020-03-24,0.5839,New York,NY,Northeast,Middle Atlantic,2020,3,-0.24582580454509384
32,2020-03-25,0.5302,New York,NY,Northeast,Middle Atlantic,2020,3,-0.2655384206081927
33,2020-03-26,0.4997,New York,NY,Northeast,Middle Atlantic,2020,3,-0.276734599191517
34,2020-03-27,0.4479,New York,NY,Northeast,Middle Atlantic,2020,3,-0.29574974839204815
35,2020-03-28,0.4661,New York,NY,Northeast,Middle Atlantic,2020,3,-0.289068750024294
36,2020-03-29,0.5032,New York,NY,Northeast,Middle Atlantic,2020,3,-0.27544979181310275
37,2020-03-30,0.3775,New York,NY,Northeast,Middle Atlantic,2020,3,-0.3215927310892951
38,2020-03-30,0.5012,New York,NY,Northeast,Middle Atlantic,2020,3,-0.2761839674579109
39,2020-03-31,0.5433,New York,NY,Northeast,Middle Atlantic,2020,3,-0.2607295701346993
40,2020-04-01,0.5949,New York,NY,Northeast,Middle Atlantic,2020,4,-0.241787838498649
